,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
18,"Crowe
4.1",Data Scientist,Noida,"Your Journey at Crowe Starts Here:
At Crowe, you have the opportunity to deliver innovative solutions to today’s complex business issues. Crowe’s accounting, consulting, and technology personnel are widely recognized for their in-depth expertise and understanding of sophisticated process frameworks and enabling technologies, along with their commitment to delivering measurable results that help clients build business value. Our focus on emerging technology solutions along with our commitment to internal career growth and exceptional client value has resulted in a firm that is routinely recognized as a “Best Place to Work.” We are 75 years strong and still growing. Come grow with us!
Job Description:
About Crowe Data Science
Everything we do is about making the future of human work more purposeful. We do this by leveraging state-of-the-art machine learning, modern architectures, and industry experts, to create AI-powered software-as-a-service.
Our world-class Data Science professionals give Crowe the ability to capture and harness the power of data. A combination of data scientists and machine learning engineers create and deploy AI functionality into software to solve complex problems. This type of group, rarely seen anywhere except large tech companies, focuses on building scalable AI products, not just one-time insights. You will learn and build on a wide range of technologies – distinguishing Crowe in the market and driving the firm’s technology and innovation strategy.
The future is powered by AI, come build it with us.
About the Team
We believe machine learning is software. While we know our way around Jupyter notebooks and ggplot2, they are not the end of our machine learning pipelines. Our team uses modern frameworks and tools (git, Docker, Kubernetes) to engineer machine learning solutions.
We foster good science. You are given the time and resources you need to build your expertise in your project, and you will guide fellow data scientists and other Crowe staff through your work.
We want to make good scientists better. Data scientists have plenty of options on the job market. We want to be one of the best ones. We have a journal club that meets weekly, regular opportunities for team members to teach each other, support for conferences, and recurring reading groups. Moreover, our team offers generous PTO, a flexible work from home policy, and a strong commitment to work-life balance. Company-wide, Crowe routinely wins awards for our support of our staff, including [to be filled in by Talent Services].
About the Role
We work on medium-term machine learning projects (1-6 months) with a high degree of autonomy.
In order to further the Data Science Team strategic imperative of having a “Culture of reuse: tools, products, and processes.”, the primary strategy of the Toolkit Team will be to develop generalizable tools for common problems and facilitate the sharing of code within/between projects.
Identify opportunities to use prior Data Science Team work to address new feature requirements
Develop generalizable tools designed to solve current and future problems
Work with all Data Science Team members to define needs
Champion the use and adoption of tools
Required Skills
Programming experience. Your job will require you to code. We mainly write in Python, so experience in this language is preferred. Within the Python ecosystem, we learn and use a wide array of tools and frameworks. Familiarity with or a drive to learn common data science and machine learning libraries is a plus.
Machine learning experience. You enjoy machine learning. You've gone deeper than reading blog posts, ideally having several example machine learning projects from industry, academia, or personal settings that you can speak to.
Capacity for autonomy. You won’t be on your own on day one, but you will need the capacity to manage your time between research and tool development.
Strong communication skills. You can discuss the technical details of a machine learning project as well as explain the concepts to a non-technical audience.
Adaptable. Toolkit problems will involve different areas of computer science and machine learning skills, sometimes within the same problem. You can context shift depending on the problem and can adjust if new problems and/or requirements arise requiring rethinking the approach to solving a problem.
Detail oriented. Toolkit is focused on making tools that just work. You like to find edge cases and potential bugs in code, you go above and beyond developing use cases beyond the requested basics, and you are meticulous with documenting their code
Skills to Stand Out
Hackiness. You like to code and have interest in learning new technologies. You find it exciting to explore and/or improve libraries to help you solve a problem.
Curiosity about machine learning. You enjoy staying up to date on research and advances in machine learning. You have a favorite machine learning specialization area that you enjoy learning about and working with.
Interest in general computer science. You know a few things about algorithm design, data structures or some other interesting computer science area that can help create more robust machine learning solutions.
Outside field. You have an educational or research background in another field that you believe gives you unique perspectives for approaching machine learning and/or general computer science problems.
Our Benefits:

At Crowe, we know that great people are what makes a great firm. We value our people and offer employees a comprehensive benefits package. Learn more about what working at Crowe can mean for you!

How You Can Grow:

We will nurture your talent in an inclusive culture that values diversity. You will have the chance to meet on a consistent basis with your Career Coach that will guide you in your career goals and aspirations. Learn more about where talent can prosper!

More about Crowe:

Crowe (www.crowe.com) is one of the largest public accounting, consulting and technology firms in the United States. Crowe uses its deep industry expertise to provide audit services to public and private entities while also helping clients reach their goals with tax, advisory, risk and performance services. Crowe is recognized by many organizations as one of the country's best places to work. Crowe serves clients worldwide as an independent member of Crowe Global, one of the largest global accounting networks in the world. The network consists of more than 200 independent accounting and advisory services firms in more than 130 countries around the world.
Show Less","₹5,64,769 /yr (est.)",1001 to 5000 Employees,Private Practice / Firm,Finance,Accounting & Tax,1982,$100 to $500 million (USD)
19,"Deloitte
4.1",Data Science,Mumbai,"Job Title: Data Science
Job requisition ID :: 45286
Date: Jul 24, 2022
Location: Mumbai
Designation: Analyst
Entity:
Data Scientist (1)

Graduate in Economics / Statistics / Accounts/ Data Science/ B. Tech or any other relevant degree

At least 3 years of experience in Data science and Analysis of which a minimum 2 years of experience in designing Predictive / Prescriptive Analysis / Model building for actionable insights.

Should have worked on projects involving text mining, clustering, segmentation, etc.

Experience in Indirect Taxation domain will be preferred.
Start your job application: click Apply Now
Show Less","₹7,47,579 /yr (est.)",10000+ Employees,Company - Private,Finance,Accounting & Tax,1850,$10+ billion (USD)
20,"Soothsayer Analytics
2.7",Junior Data Scientist,Hyderābād,"Junior Data Scientist
Working Hours : Full Time
Locations : Hyderabad, India

Soothsayer is seeking a Junior Data Scientist who has experience and interest in solving challenging big data problems. The ideal candidate has expertise and interest to solve interesting business problems using large-scale analytics and algorithms. The Data Science team works on a variety of exciting analytics and modeling projects.
Responsibilities
Solve cutting edge, challenging problems working alongside a great team of world class data scientists and analytics experts
Effectively identify, prioritize and communicate data requirements supporting analytics that deliver key business insights
Having a passion for solving interesting and challenging big data problems
Expert and desire to be hands on as well as lead teams to solve interesting business problems using large-scale analytics and algorithms
Reframe business, and product objectives as machine learning tasks that can deliver actionable insights and accurate predictions
Communicate results to scientific, business, and editorial stakeholders
Mine data to prototype models for targeting and personalization
Collaborate with other engineers, data scientists, and product/business people
Execute your machine learning research with reliability and reproducibility
Key Skills
R, Python, NoSQL, Visualization Software
Education & Experience
Bachelors in computer science, applied mathematics, or equivalent.
1 year of experience across one or more of the following disciplines: analytics, data warehousing, software engineering
1 year experience with open source machine learning tools built in Python or R
1 year experience with scripting languages (e.g., Python, Ruby, Perl, Bash)
Data engineering experience, including SQL and manipulating large structured or unstructured datasets for analysis
Good to have knowledge with MapReduce/Hadoop and related technologies (e.g., Pig, Hive, Cascading). Familiarity with Amazon Web Services and Elastic MapReduce a plus
Hands on experience with implementing machine learning algorithms and models
NLP experience is a plus
Excellent data presentation skills
Soothsayer Analytics is an Equal Opportunity Employer and e-Verify Company.
Soothsayer Analytics is a Data Science company based out of Livonia, MI and offices in Columbus, OH and offshore in Hyderabad India. Advanced Analytics firm focused on Pattern Recognition and Unstructured Data.
Our team actively works with, creates, and researches cutting edge Data Science techniques. We approach each problem individually and architect custom solutions.
Our strength lies in our ability to build and productize proprietary algorithms and analytical tools.
Advised by 10 industry experts whose domain knowledge we leverage to better architect industry specific solutions.
Our delivery partners include 20+ Data Scientists with a combined 75 Patents and 300+ Publications.
We collaborate with this brain trust to keep us abreast of state-of-the-art techniques and to help deliver world-class results. We utilize cutting edge Machine Learning and Statistical Techniques to extract Hidden Insights and Patterns from Complex, High Dimensional, and Unstructured Data.
Our major clients include: DOW Chemicals, Ford, Visteon, D&B, Timken, US steels, Steelcase, Abercrombie, Express, Stanley Steemer, Whirlpool, AEP, NiSource, GEA, etc.
Soothsayer Analytics is an Equal Opportunity Employer and e-Verify Company.
Show Less",#N/A,51 to 200 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
21,"Micron
4.0",Data Scientist - Technology and Products Group,Hyderābād,"Our vision is to transform how the world uses information to enrich life for all. Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing.
Responsibilities include, but not limited to:
Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
Strong software development skills.
Strong verbal and written communication skills.
Experience with or desire to learn:
Machine learning and other advanced analytical methods
Fluency in Python and/or R
pySpark and/or SparkR and/or SparklyR
Hadoop (Hive, Spark, HBase)
Teradata and/or another SQL databases
Tensorflow, and/or other statistical software including scripting capability for automating analyses
SSIS, ETL
Javascript, AngularJS 2.0, Tableau
Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus
Experience working with Manufacturing Execution Systems (MES) is a plus
Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are plus, but this is not a research position
About Micron Technology, Inc.
We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all . With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.

To learn more, please visit micron.com/careers

Micron is proud to be an equal opportunity workplace and is an affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, age, national origin, disability, protected veteran status, gender identity or any other factor protected by applicable federal, state, or local laws.

Please note that in order to assist in providing a safe and healthy workplace for all Micron team members, new employment offers for jobs based in India, Malaysia, Singapore, and the U.S., are contingent upon the applicant’s provision of a copy of their COVID-19 vaccination document to Micron on a confidential basis prior to their scheduled start date confirming that they have completed the COVID-19 vaccination process, subject to any written request for medical or religious accommodation and to the extent permitted by applicable law.

For US Sites Only: To request assistance with the application process and/or for reasonable accommodations, please contact Micron’s People Organization at hrsupport_na@micron.com or 1-800-336-8918
Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.
Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.
Start your job application: click Apply Now
Show Less","₹3,49,293 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Computer Hardware Development,1978,$10+ billion (USD)
22,T Concepts Resources Pvt Ltd,Data Scientist,Pune,"Job Description
Job Title: Data Scientist
Location: Pune, Maharashtra (Hybrid)
Duration: FTE
Responsibilities and Skills:
You have extensive knowledge of data science which you can demonstrate through your work experience, relevant degrees, or personal projects
You are experienced in solving real-world problems with data science techniques and have successfully put data science models into production with proven value
You are experienced with working on predictive maintenance topics
You have experience working with colleagues located in different parts of the world
You are familiar working according to CRISP-DM cycles
You have basic back-end development knowledge
You are experienced with PySpark
Our ML (Machine Learning) systems are written in Python, using libraries like pandas, scikit-learn and TensorFlow. The ML systems run on AZURE. Experience with a similar stack is a plus
You are fluent in English, Dutch is a nice-to-have
Job Types: Full-time, Regular / Permanent
Salary: ₹2,000,000.00 - ₹2,500,000.00 per year
Benefits:
Flexible schedule
Food provided
Health insurance
Paid time off
Provident Fund
Schedule:
Day shift
Flexible shift
Morning shift
Supplemental pay types:
Performance bonus
Ability to commute/relocate:
Khraradi, Pune - 411014, Maharashtra: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data science: 4 years (Preferred)
Pyspark: 3 years (Preferred)
Machine learning: 4 years (Preferred)
Speak with the employer
+91 8374063809
Show Less","₹22,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,"GLOBAL TECHNOLOGIES
3.7",Data Scientist,Bangalore,"Hi,
About Us
Global Technologies premier human resource placement agency and has established itself as a reputed multi-faceted team of highly qualified and experienced consultants, from diverse professional fields and expertise, who understand the rapid changes taking place in the global business environment. Based in India –third largest pool of skilled manpower in the world, we are well positioned to service the varied staffing needs of diverse business segments. looking for the below mentioned position for our Product Based Client.
Position: Data Scientist
Total experience: 4*+ yrs*
Desired Skills and Experience
4+ years of experience in Logical Reasoning, Excel, SQL, Python, AWS Sagemaker, Linear & Logistics regression, Decision Trees - CHAID, CART, Random Forest and XGBoost
Experience in developing and implementing Machine Learning/Statistical Learning solutions to complex business problems at scale, experience in CVM Telecom background will be preferred.
Strong statistical knowledge, and expertise on working and implementing different traditional modeling / ML techniques
Rich experience in various Machine Learning techniques like Regression, Classification, Ensemble of Decision Trees (Bagging, Boosting, and Random Forest etc.), Support Vector Machines, Clustering, Dimension Reduction etc.
Proficiency in (coding, scripting and prototyping skills) in Python.
Key Responsibilities
Create and implement complex, cross-functional analytics solutions, predictive models and statistical analyses for solving business issues and requirements
Work independently to manage the full lifecycle of data analysis and model development detailed EDA to analyze business issues, develop the analytics solution framework, design and develop the datasets required for building statistical and predictive models, create the models and validate for accuracy, as well as explain the model results and implementation to business stakeholders
Create and support all facets of analytics descriptive, prescriptive, and predictive analysis, and effectively communicating the results to various internal/external stakeholders
Conduct analytic deep dives of critical business issues that impact performance and translate the analyses into actionable recommendations
Partner with other internal/external teams to facilitate development or implementation of identified analytics solutions, work closely with IT teams wherever required for data quality, engineering, and orchestration
Execute planned analysis to meet the project objectives, and ensure on-time & error free delivery, proactively escalate issues when required
Job Location: Bangalore
Note: Please send Cvs only, who can attend the interview on weekdays, with short notice period (max 15 days only)
Job Type: Full-time
Salary: ₹479,081.14 - ₹1,754,929.52 per year
Schedule:
Flexible shift
Ability to commute/relocate:
Bangalore City, Karnataka: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 4 years (Required)
Show Less","₹11,17,005 /yr (est.)",1 to 50 Employees,Company - Private,Telecommunications,Telecommunications Services,#N/A,$1 to $5 million (USD)
24,"Kmart
3.5",Data Scientist,Bangalore,"Brighter futures start here

At KAS services you’ll be joining a diverse team who come together to collaborate globally around tech. We are an innovation hub which power and support our retail brands. You’ll feel the impacts of the work you’ll do for our millions of customers and team members every day. Our brands are focused on being customer-led, digitally enabled retailers, providing you with challenging and rewarding work that you will be proud of.
Join our team, choose your own path and work on projects that excite you.
Team Name: Data Analytics

The Data and Analytics team drives competitive advantage by providing the best-in-class data, analytics, and insights for the Kmart Group. By using the latest cloud platforms tools, data engineering practices, and data science methods, the team is paving the way for a data culture within the organization, which leads to improved sales, cost savings, and customer satisfaction.
The team works with various functions and acts as a critical enabler of Kmart’s strategic priorities, such as creating a single view of the customer, digital supply chain, lowest price leadership, new categories, and new formats.

What you’ll be doing

Development & deployment of solutions that leverage data sciences & advanced analytics to drive incremental value for a retail business
Analyse and model structured data using advanced statistical methods and implement algorithms and software needed to perform analysis
Mine multiple data sets including large data sets through clustering & capture thematic trends

Desired qualification and work experience

M.S. or PH.D. in Computer Science, applied mathematics, statistics, physics, operations research, quantitative social sciences or related fields,Mandatory Formal Education/Qualifications e.g. CPA
B.S. in Computer Science, Applied/Business Statistics or Mathematics
3-5 years of relevant experience advanced analytics role preferably in Retail / CPG domain
Should have worked on projects / initiatives on inventory analytics, supply chain analytics
Proven application of advanced analytical and statistical methods. Prior experience in machine learning & big data analytics will be preferred.

Technical Skills

Strong programming skills in Python, SQL, HIVE
Good communication skills with the ability to explain complex analytical concepts to people from other functions
Ability to employ predictive modelling techniques to solve complex business problems
Experience in working with large relational databases (MS SQL / Teradata/ Oracle) & preferably AWS platforms as well

A place you can belong
We celebrate the rich diversity of the communities in which we operate and are committed to creating inclusive and safe environments where all our team members can contribute and succeed. We believe that all team members should feel valued, respected, and safe irrespective of your gender, ethnicity, indigeneity, religious beliefs, education, age, disability, family responsibilities, sexual orientation and gender identity and we encourage applications from all candidates.
Show Less","₹5,20,252 /yr (est.)",10000+ Employees,Subsidiary or Business Segment,Retail & Wholesale,General Merchandise & Superstores,1899,$5 to $10 billion (USD)
25,"Conxai Technologies GmbH
1.0",Junior Data Scientist,Bangalore,"We are building the first NO-CODE AI PLATFORM for the AEC industry, with the 3rd generation Explainable AI, that allows users to create complex use cases with zero coding at the frontend and neuro-symbolic AI under the hood.

Our NO-CODE AI PLATFORM provides end-to-end functionalities starting with specifying knowledge, to creating and annotating datasets, all the way to training and deploying ML models.

Tasks

We are looking for a Data Scientist who will work with our AI Modelling Team in improving the accuracy and quality of our AI models to achieve excellent performance across several use cases.

You will be responsible for understanding customer use cases, translating these use cases into data requirements, annotating data, training, testing and deployment of AI models.

A substantial part of your work will involve annotating data.

Furthermore, you will be trained to work with our No-Code AI platform to train, evaluate and deploy AI Models across several use cases - all this without writing a single line of code.

You will also be contributing to the improvement of these AI Models using the python/pytorch programming language.

The candidate will gain unique professional training and experience as a No Code AI Data Specialist.

Requirements

BCA / BSc. / BTech or higher with experience in data annotation and data science
Experience in working with deep learning models using pytorch.
Experience with annotation, training, testing and deployment of AI models.
Ability to support several projects at one time
Self-motivated to learn about AI pipelines and processes
Fluent in English writing and speaking
Excellent in communication
Team player
Show Less","₹4,64,758 /yr (est.)",1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
26,"TARGET
4.4",Data Scientist,Bangalore,"Data Scientist; Domain – Digital Advertising
About us:
Target is an iconic brand, a Fortune 50 company and one of America’s leading retailers.
Target as a tech and data company? Absolutely! We’re the behind-the-scenes powerhouse that fuels Target’s passion and commitment to cutting-edge innovation. We anchor every facet of one of the world’s best-loved retailers with a strong technology framework that relies on the latest tools and technologies—and the brightest people—to deliver incredible value to guests online and in stores.
About the role:
Target’s Digital and Marketing Data Sciences organization develops cutting-edge solutions for Target’s media platform that generate engaging experiences for guests and exceptional returns for advertisers. We improve performance of campaigns and elevate guest experiences via optimal pricing, placement, and delivery of digital ads across all media platforms. In this role as Data Scientist, you will have access to the best tech stack in retail along with working with a set of passionate co-workers committed to creating next gen Marketing capabilities. You can expect to be involved in:
Coding and development of next generation optimization models that leverage Target’s first party data to maximize performance of products and services offered by Target Media platforms.
Learning about the complex world of digital ad – tech and supporting Target’s advertising business by bringing state of art ad relevancy to life
Creating large and automated data pipelines and documenting methods and outputs
Exploring different approaches to solve a problem, testing the solutions, and reporting the results
Implementing large scale and automated models and create dashboard to capture relevant metrics and determine errors
What we are looking for:
Bachelors/Masters equivalent in any Quantitative disciplines (Science, Technology, Engineering, Mathematics) with 1+ years of relevant model development experience
Data wrangling and pipelining skills using HiveQL, Python, Spark
Strong programming skills in Python/ Scala/ Java
Ability to write modular code and data pipelines which can be automated and scaled
Understanding of foundational mathematics and statistical concepts
Ability to work with a team(s) to drive the work in a collaborative environment
Experience in Digital Marketing space preferred but not mandatory
Why work with us at Target?
You will work directly on challenging problems and see the impact of your solutions on Target's business and Guest experiences.
We strongly believe in and encourage continuous learning (50 days of learning with access to a variety of learning platforms!)
We love open source! Many of our team members contribute to open-source communities and get to do it during work time. We try to contribute back to our communities where we can and are grateful to be able to open source some of our own projects!
Retail Media Advertising industry is growing fast and poised to grow further

Qualifications:
Start your job application: click Apply Now
Show Less","₹6,48,855 /yr (est.)",1001 to 5000 Employees,Company - Public,Retail & Wholesale,General Merchandise & Superstores,1962,Unknown / Non-Applicable
27,"Falabella India
4.0",Data Scientist,Bangalore,"Company description:
Falabella, with a 130 year history, is the leading physical and digital retail company in the Latin American region, with presence in 9 countries (Argentina, Brazil, Chile, Colombia, Mexico, Peru, Uruguay, China and India) across 2 continents, through six business units (fashion & electronics, home improvement, supermarkets, real estate, e-commerce and financial services) with more than 30 million clients in the region.

Falabella’s ecosystem is its greatest strength, offering omni-channel capabilities, with the customer and seller being its focal point. In order to facilitate this core relation, a homogenous network has been built around it with the support of three main pillars - Data, Technology and Talent.

Job purpose:
Data Scientist

Duties and responsibilities:
Understand the business problem end to end and document them in a way that the business can comprehend
Translate the business problem into a data science problem by analysing the feasibility, data availability, scalability of the solution and implementation feasibility; call out bottlenecks and potential risks that they foresee and suggest potential tweaks that can help them circumvent these bottlenecks
Collect relevant data from varying sources, clean and transform them to make them model ready
Apply various transformations on the data sources, perform extensive exploratory analysis, feature reduction, generation of embeddings, evaluation of goodness of embeddings, overcome the shortcomings of the data by seeking creative ways of solving the problem
Evaluate the potential solutions of solving the problem by exploring different approaches, algorithms, hyper parameters optimization, creative hacks into the algorithm to optimize the objective function
Understand and suggest the right metrics to measure the performance of the model and make the solution interpretable to the business using creative visualizations
Translate the solution into action by building end-to-end pipelines using various automation and pipeline tools
Requirements:
NLP
Algorithms
Hyper Parameters

Job conditions:Selection process description:
The selection process is carried out through Aira - a recruitment platform designed to improve your application experience.

To apply you just need to:
1. Apply for the job
2. Check your email
3. Enter Aira and answer the indicated questions and/or tests Then, if we consider your profile is a good match for our position, we will contact you by email (through Aira) to continue to the in-person stage.
Show Less","₹4,64,758 /yr (est.)",51 to 200 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
28,Dhrima Solutions LLP,Junior Data Scientist,Rājkot,"1+ years of hands-on experience with the Python or R, SQL
1+ yrs. of data science/analytics experience.
Experience with traditional Machine Learning
Well-developed analytical, logical and problem solving skills
Working knowledge of Statistics, common data science took kits
Excellent communication (written and oral) & technical writing skills
Working experience in containerized, cloud-based environments - AWS/Google could.
Experience with developing and maintaining CI/CD pipelines
Experience in designing, developing, deploying and operating scalable RESTful micro-services
Knowledge on software architecture design principles.
Job Type: Full-time
Salary: ₹200,000.00 - ₹300,000.00 per year
Schedule:
Flexible shift
Monday to Friday
Morning shift
Ability to commute/relocate:
Rajkot, Rajkot - 360006, Gujarat: Reliably commute or planning to relocate before starting work (Required)
Experience:
total work: 1 year (Preferred)
Application Deadline: 28/08/2022
Expected Start Date: 23/08/2022
Show Less","₹2,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29,"Mindtree
4.0",Data Scientist,Bangalore,"Job Description
Role: Data Scientist Sr. Data Scientist Experience:
10 # 15 years (C5 C6)
Job Location: India Role
Description: A Sr. Data Scientist who lead the development of analytics machine learning AI models for generating future prediction using data .
Responsibilities: -
Understanding the project requirement -
Understand if there is any already existing ML model
Leading analytics project & provide necessary guidance to the team
Working hands on in analytics model building
Understand t he data & doing EDA
Feature engineering
Building Data Science models
Validate & Piloting ML models
Model tuning & improvement

Sound theoretical knowledge in ML algorithm and their application
Strong fundamental on statistics
Experience in leading multiple data science projects
Hands on experience on Machine learning data science
Strong stakeholder management skills
Expert in Python
Hand on experience in SPARK Scala or PySpark Added Advantage:
Hands on experience in Azure data bricks
Working experience in CPG domain .

Job Requirements: Statistics and Mathematics, Machine Learning Application
Job Type
Full Time
Location
BANGALORE
Mandatory Skills
Data Science
Machine Learning
Show Less","₹6,25,333 /yr (est.)",10000+ Employees,Company - Public,Information Technology,Information Technology Support Services,1999,$500 million to $1 billion (USD)
30,"Google
4.5","Software Engineer, Machine Learning",Bangalore,"Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place, we're currently unable to extend offers to anyone who cannot work from Bengaluru due to lockdown visa/travel restrictions, or other restrictive measures until further notice. Consequently, we will be prioritizing candidates who can start in this location by set date as expected. We're keeping the situation under review and would adjust our position should the restrictive measures be removed later on.
Minimum qualifications:
Bachelor's degree in Computer Science, or related technical field, or equivalent work experience.
5 years of relevant work experience.
Experience designing and implementing distributed software systems (e.g Java, C++, or Python).
Research or Industry experience in Artificial Intelligence, Machine Learning (ML) models, ML infrastructure, Natural Language Processing or Deep Learning.

Preferred qualifications:
Master's degree or PhD in Computer Science, Artificial Intelligence, Machine Learning or related technical field.
2 years of relevant work experience in machine learning software development and architectures for machine learning (with focus on deep learning).
Experience with one or more of the following areas: Server Backend Distributed and Parallel Systems, Full Stack Development (front end and backend), Scalable Enterprise Platforms and Applications, Application Security and Incident Management, Machine Learning, Information Retrieval or Natural language processing.
Experience in building, deploying, and improving Machine Learning models and algorithms in real-world products.
About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
As a Software Engineer, you will get a chance to choose from a myriad of projects: building signals and models for detecting bad users and rejecting fraudulent and abusive contributions, building tools that allow Google operators to efficiently provide labels for model training and the infrastructure on which all of these run. You will also use your programming skills, develop intuition for open ended problems and learn how Machine Learning can be applied to solve real world problems.
Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.
Responsibilities
Design, develop, test, deploy, maintain and improve ML models/infrastructure and software that uses these models.
Manage individual project priorities, deadlines and deliverables.
Participate in cutting edge research in artificial intelligence and machine learning applications.
Build the libraries and frameworks that support large, complex web applications.
Contribute to engineering efforts from planning and organization to execution and delivery to solve complex, real world engineering problems.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.
To apply to this job, click Apply Now
Show Less",#N/A,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
